0, 0.0613
1, 0.0453
2, 0.0619
3, 0.0796
4, 0.0796
5, 0.0740
6, 0.0663
7, 0.0863
8, 0.0655
9, 0.0795
10, 0.0705
11, 0.0781
12, 0.0764
13, 0.0715
14, 0.0633
15, 0.0707
16, 0.0602
17, 0.0582
18, 0.0542
19, 0.0575
20, 0.0596
21, 0.0712
22, 0.0639
23, 0.0625
24, 0.0777
25, 0.0675
26, 0.0960
27, 0.0936
28, 0.0987
29, 0.0884
30, 0.0866
31, 0.0974
32, 0.0811
33, 0.0721
34, 0.0769
35, 0.0801
36, 0.0763
37, 0.0507
38, 0.0636
39, 0.0592
40, 0.0357
41, 0.0471
42, 0.0418
43, 0.0519
44, 0.0547
45, 0.0400
46, 0.0466
47, 0.0378
48, 0.0617
49, 0.0653
50, 0.0704
51, 0.0593
52, 0.0661
53, 0.0577
54, 0.0589
55, 0.0642
56, 0.0551
57, 0.0596
58, 0.0416
59, 0.0582
60, 0.0558
61, 0.0482
62, 0.0423
63, 0.0300
64, 0.0355
65, 0.0270
66, 0.0157
67, 0.0177
68, 0.0155
69, 0.0199
70, 0.0362
71, 0.0439
72, 0.0341
73, 0.0631
74, 0.0477
75, 0.0696
76, 0.0649
77, 0.0640
78, 0.0540
79, 0.0548
80, 0.0704
81, 0.0512
82, 0.0699
83, 0.0439
84, 0.0615
85, 0.0583
86, 0.0394
87, 0.0317
88, 0.0249
89, 0.0302
90, 0.0473
91, 0.0323
92, 0.0406
93, 0.0450
94, 0.0547
95, 0.0481
96, 0.0639
97, 0.0664
98, 0.0668
99, 0.0629
100, 0.0680
101, 0.0741
102, 0.0640
103, 0.0815
104, 0.0617
105, 0.0782
106, 0.0534
107, 0.0662
108, 0.0626
109, 0.0390
110, 0.0553
111, 0.0303
112, 0.0480
113, 0.0222
114, 0.0385
115, 0.0467
116, 0.0360
117, 0.0406
118, 0.0328
119, 0.0522
120, 0.0439
121, 0.0414
122, 0.0532
123, 0.0569
124, 0.0580
125, 0.0727
126, 0.0623
127, 0.0697
128, 0.0707
129, 0.0471
130, 0.0502
131, 0.0363
132, 0.0461
133, 0.0311
134, 0.0372
135, 0.0329
136, 0.0214
137, 0.0293
138, 0.0259
139, 0.0303
140, 0.0151
141, 0.0405
142, 0.0223
143, 0.0341
144, 0.0551
145, 0.0365
146, 0.0568
147, 0.0573
148, 0.0544
149, 0.0659
150, 0.0523
151, 0.0583
152, 0.0676
153, 0.0573
154, 0.0522
155, 0.0359
156, 0.0424
157, 0.0440
158, 0.0402
159, 0.0365
160, 0.0372
161, 0.0336
162, 0.0227
163, 0.0362
164, 0.0282
165, 0.0367
166, 0.0391
167, 0.0247
168, 0.0413
169, 0.0463
170, 0.0471
171, 0.0463
172, 0.0607
173, 0.0665
174, 0.0539
175, 0.0720
176, 0.0690
177, 0.0650
178, 0.0513
179, 0.0379
180, 0.0366
181, 0.0260
182, 0.0278
183, 0.0369
184, 0.0184
185, 0.0366
186, 0.0205
187, 0.0398
188, 0.0212
189, 0.0211
190, 0.0423
191, 0.0499
192, 0.0538
193, 0.0632
194, 0.0638
195, 0.0754
196, 0.0773
197, 0.0742
198, 0.0677
199, 0.0649
200, 0.0819
201, 0.0667
202, 0.0582
203, 0.0629
204, 0.0634
205, 0.0691
206, 0.0436
207, 0.0556
208, 0.0524
209, 0.0383
210, 0.0551
211, 0.0473
212, 0.0495
213, 0.0683
214, 0.0732
215, 0.0636
216, 0.0640
217, 0.0870
218, 0.0821
219, 0.0739
220, 0.0865
221, 0.0886
222, 0.0811
223, 0.0878
224, 0.0795
225, 0.0963
226, 0.0784
227, 0.0837
228, 0.0762
229, 0.0696
230, 0.0711
231, 0.0696
232, 0.0693
233, 0.0603
234, 0.0638
235, 0.0449
236, 0.0574
237, 0.0490
238, 0.0615
239, 0.0602
240, 0.0628
241, 0.0769
242, 0.0808
243, 0.0654
244, 0.0678
245, 0.0731
246, 0.0630
247, 0.0655
248, 0.0667
249, 0.0736
